chart_appearances,track_id,title,artist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
3,7IM7JCGA6lNktX9ORtyQS8,Do You Feel Like You Have No One to Turn to?, Yayyoung,0.391,0.401,4,-9.507,1,0.0919,0.631,0.0,0.134,0.253,73.311,audio_features,7IM7JCGA6lNktX9ORtyQS8,spotify:track:7IM7JCGA6lNktX9ORtyQS8,https://api.spotify.com/v1/tracks/7IM7JCGA6lNktX9ORtyQS8,https://api.spotify.com/v1/audio-analysis/7IM7JCGA6lNktX9ORtyQS8,186000,4
6,0N8MGHEDAq29ip7RrlrTeN,Beach House, The Chainsmokers,0.537,0.837,0,-4.477,1,0.039,0.19,0.0,0.348,0.533,90.083,audio_features,0N8MGHEDAq29ip7RrlrTeN,spotify:track:0N8MGHEDAq29ip7RrlrTeN,https://api.spotify.com/v1/tracks/0N8MGHEDAq29ip7RrlrTeN,https://api.spotify.com/v1/audio-analysis/0N8MGHEDAq29ip7RrlrTeN,206120,4
7,6NbF82CkLv5mtx9bTvF59B,The Prayer, Mira Sorentido,0.403,0.0194,10,-25.354,1,0.0361,0.994,0.921,0.0943,0.202,63.299,audio_features,6NbF82CkLv5mtx9bTvF59B,spotify:track:6NbF82CkLv5mtx9bTvF59B,https://api.spotify.com/v1/tracks/6NbF82CkLv5mtx9bTvF59B,https://api.spotify.com/v1/audio-analysis/6NbF82CkLv5mtx9bTvF59B,278083,4
3,3ZdzllGVt1TI4GkQgoHmu2,Nada Sousou, Hiroaki Kato,0.73,0.138,4,-13.458,1,0.031,0.857,8.98e-05,0.128,0.415,134.108,audio_features,3ZdzllGVt1TI4GkQgoHmu2,spotify:track:3ZdzllGVt1TI4GkQgoHmu2,https://api.spotify.com/v1/tracks/3ZdzllGVt1TI4GkQgoHmu2,https://api.spotify.com/v1/audio-analysis/3ZdzllGVt1TI4GkQgoHmu2,263486,4
25,1DVHCvTwuwtZrpYDV4irH5,Pulang, Insomniacks,0.406,0.596,8,-8.588,1,0.0369,0.0636,6.35e-06,0.0858,0.31,161.84,audio_features,1DVHCvTwuwtZrpYDV4irH5,spotify:track:1DVHCvTwuwtZrpYDV4irH5,https://api.spotify.com/v1/tracks/1DVHCvTwuwtZrpYDV4irH5,https://api.spotify.com/v1/audio-analysis/1DVHCvTwuwtZrpYDV4irH5,287478,3
8,5SucfiC9DNK9l4PUY6tqqe,SOME (You'll Be Mine), NATURE,0.734,0.745,2,-4.338,1,0.0655,0.003,4.56e-06,0.248,0.647,139.958,audio_features,5SucfiC9DNK9l4PUY6tqqe,spotify:track:5SucfiC9DNK9l4PUY6tqqe,https://api.spotify.com/v1/tracks/5SucfiC9DNK9l4PUY6tqqe,https://api.spotify.com/v1/audio-analysis/5SucfiC9DNK9l4PUY6tqqe,217348,4
14,2OsH4MtKPVeI8w9sFBLEvZ,One of Those Nights, KEY,0.732,0.589,5,-6.223,0,0.072,0.0689,0.0,0.0489,0.619,127.968,audio_features,2OsH4MtKPVeI8w9sFBLEvZ,spotify:track:2OsH4MtKPVeI8w9sFBLEvZ,https://api.spotify.com/v1/tracks/2OsH4MtKPVeI8w9sFBLEvZ,https://api.spotify.com/v1/audio-analysis/2OsH4MtKPVeI8w9sFBLEvZ,190328,4
19,1vVm7saDXHk99SU5BFUDpp,Stand Out Fit In, ONE OK ROCK,0.619,0.849,11,-5.397,1,0.0417,0.0192,0.0,0.144,0.212,126.035,audio_features,1vVm7saDXHk99SU5BFUDpp,spotify:track:1vVm7saDXHk99SU5BFUDpp,https://api.spotify.com/v1/tracks/1vVm7saDXHk99SU5BFUDpp,https://api.spotify.com/v1/audio-analysis/1vVm7saDXHk99SU5BFUDpp,214582,4
3,7n2HVHWqFsyAOs5HqmE1Dl,I Love You, EXID,0.695,0.832,9,-3.455,0,0.0288,0.000371,0.000483,0.469,0.249,111.997,audio_features,7n2HVHWqFsyAOs5HqmE1Dl,spotify:track:7n2HVHWqFsyAOs5HqmE1Dl,https://api.spotify.com/v1/tracks/7n2HVHWqFsyAOs5HqmE1Dl,https://api.spotify.com/v1/audio-analysis/7n2HVHWqFsyAOs5HqmE1Dl,194699,4
61,6LtgUimZwfLPlBSSX4K6KL,BINGBIAN病变 - 女声版, 鞠文娴,0.707,0.351,8,-13.898,1,0.0664,0.893,0.0,0.104,0.431,113.103,audio_features,6LtgUimZwfLPlBSSX4K6KL,spotify:track:6LtgUimZwfLPlBSSX4K6KL,https://api.spotify.com/v1/tracks/6LtgUimZwfLPlBSSX4K6KL,https://api.spotify.com/v1/audio-analysis/6LtgUimZwfLPlBSSX4K6KL,247031,4
18,3x4sCoWpaqiQlrZxfhsA0w,星球墜落, 艾熱,0.794,0.715,9,-4.187,1,0.159,0.376,0.0,0.384,0.726,117.984,audio_features,3x4sCoWpaqiQlrZxfhsA0w,spotify:track:3x4sCoWpaqiQlrZxfhsA0w,https://api.spotify.com/v1/tracks/3x4sCoWpaqiQlrZxfhsA0w,https://api.spotify.com/v1/audio-analysis/3x4sCoWpaqiQlrZxfhsA0w,169033,4
1,3IktbbAbZqczBDQxCoJOyP,Spring Breeze, Wanna One,0.633,0.792,3,-3.202,1,0.0296,0.0884,0.0,0.37,0.369,107.96,audio_features,3IktbbAbZqczBDQxCoJOyP,spotify:track:3IktbbAbZqczBDQxCoJOyP,https://api.spotify.com/v1/tracks/3IktbbAbZqczBDQxCoJOyP,https://api.spotify.com/v1/audio-analysis/3IktbbAbZqczBDQxCoJOyP,235869,4
21,5zsHmE2gO3RefVsPyw2e3T,What's Up Danger (with Black Caviar), Blackway,0.701,0.755,2,-5.82,1,0.0417,0.00363,0.000795,0.121,0.116,95.036,audio_features,5zsHmE2gO3RefVsPyw2e3T,spotify:track:5zsHmE2gO3RefVsPyw2e3T,https://api.spotify.com/v1/tracks/5zsHmE2gO3RefVsPyw2e3T,https://api.spotify.com/v1/audio-analysis/5zsHmE2gO3RefVsPyw2e3T,222307,4
6,2bQhVQbV7VBzSOPo8mbkUR,Beach House, The Chainsmokers,0.4,0.838,0,-4.491,1,0.0526,0.174,0.0,0.341,0.533,179.945,audio_features,2bQhVQbV7VBzSOPo8mbkUR,spotify:track:2bQhVQbV7VBzSOPo8mbkUR,https://api.spotify.com/v1/tracks/2bQhVQbV7VBzSOPo8mbkUR,https://api.spotify.com/v1/audio-analysis/2bQhVQbV7VBzSOPo8mbkUR,206120,4
5,72hucs56DifUiAItOhWEl9,Islands, Reese Lansangan,0.525,0.548,9,-7.366,0,0.0739,0.784,3.55e-06,0.3,0.406,92.237,audio_features,72hucs56DifUiAItOhWEl9,spotify:track:72hucs56DifUiAItOhWEl9,https://api.spotify.com/v1/tracks/72hucs56DifUiAItOhWEl9,https://api.spotify.com/v1/audio-analysis/72hucs56DifUiAItOhWEl9,272688,4
7,1hy6kKvsPbv7VTcllCuATC,I'll Be Home, Meghan Trainor,0.514,0.362,2,-7.758,1,0.0263,0.303,9.3e-06,0.104,0.301,84.767,audio_features,1hy6kKvsPbv7VTcllCuATC,spotify:track:1hy6kKvsPbv7VTcllCuATC,https://api.spotify.com/v1/tracks/1hy6kKvsPbv7VTcllCuATC,https://api.spotify.com/v1/audio-analysis/1hy6kKvsPbv7VTcllCuATC,219440,4
2,07w6jp4Fq8GGqhLoDYoVkb,Replay, Maikel Delacalle,0.726,0.8,11,-5.858,0,0.0588,0.203,0.000175,0.107,0.765,109.984,audio_features,07w6jp4Fq8GGqhLoDYoVkb,spotify:track:07w6jp4Fq8GGqhLoDYoVkb,https://api.spotify.com/v1/tracks/07w6jp4Fq8GGqhLoDYoVkb,https://api.spotify.com/v1/audio-analysis/07w6jp4Fq8GGqhLoDYoVkb,217104,4
11,3Fb8RJ1aUgZYh8AsuCaxk8,當我們不在一起, Quarterback,0.484,0.476,6,-7.783,0,0.0307,0.0892,1.38e-06,0.102,0.253,165.808,audio_features,3Fb8RJ1aUgZYh8AsuCaxk8,spotify:track:3Fb8RJ1aUgZYh8AsuCaxk8,https://api.spotify.com/v1/tracks/3Fb8RJ1aUgZYh8AsuCaxk8,https://api.spotify.com/v1/audio-analysis/3Fb8RJ1aUgZYh8AsuCaxk8,264578,4
4,4NBTZtAt1F13VvlSKe6KTl,This Feeling, The Chainsmokers,0.575,0.571,1,-7.906,1,0.0439,0.0558,0.0,0.0912,0.449,105.049,audio_features,4NBTZtAt1F13VvlSKe6KTl,spotify:track:4NBTZtAt1F13VvlSKe6KTl,https://api.spotify.com/v1/tracks/4NBTZtAt1F13VvlSKe6KTl,https://api.spotify.com/v1/audio-analysis/4NBTZtAt1F13VvlSKe6KTl,197947,4
4,0DnGad33N0O2NnqeJA2riE,"thank u, next", Oliviya Nicole,0.556,0.143,3,-13.394,0,0.0558,0.941,0.0,0.112,0.534,119.329,audio_features,0DnGad33N0O2NnqeJA2riE,spotify:track:0DnGad33N0O2NnqeJA2riE,https://api.spotify.com/v1/tracks/0DnGad33N0O2NnqeJA2riE,https://api.spotify.com/v1/audio-analysis/0DnGad33N0O2NnqeJA2riE,226655,5
5,0CayPM8AL7rKylLScIWqb0,Sang Saka Biru, Joe Flizzow,0.732,0.63,7,-6.682,1,0.405,0.211,0.0,0.0927,0.862,178.026,audio_features,0CayPM8AL7rKylLScIWqb0,spotify:track:0CayPM8AL7rKylLScIWqb0,https://api.spotify.com/v1/tracks/0CayPM8AL7rKylLScIWqb0,https://api.spotify.com/v1/audio-analysis/0CayPM8AL7rKylLScIWqb0,202247,4
5,4OBZT9EnhYIV17t4pGw7ig,Best Part (feat. Daniel Caesar), H.E.R.,0.473,0.371,4,-10.219,0,0.0405,0.795,0.0,0.109,0.413,75.208,audio_features,4OBZT9EnhYIV17t4pGw7ig,spotify:track:4OBZT9EnhYIV17t4pGw7ig,https://api.spotify.com/v1/tracks/4OBZT9EnhYIV17t4pGw7ig,https://api.spotify.com/v1/audio-analysis/4OBZT9EnhYIV17t4pGw7ig,209400,4
7,7bLh5731j5ouzABXYQisTt,Stardust, Sonny Beckerlee,0.438,0.0153,5,-26.985,1,0.0457,0.994,0.966,0.121,0.196,66.752,audio_features,7bLh5731j5ouzABXYQisTt,spotify:track:7bLh5731j5ouzABXYQisTt,https://api.spotify.com/v1/tracks/7bLh5731j5ouzABXYQisTt,https://api.spotify.com/v1/audio-analysis/7bLh5731j5ouzABXYQisTt,205500,4
6,79OBM3zIJst8eSppzdECrj,Dreaming, Chymes,0.696,0.27,11,-13.376,0,0.0459,0.756,0.00281,0.107,0.299,95.05,audio_features,79OBM3zIJst8eSppzdECrj,spotify:track:79OBM3zIJst8eSppzdECrj,https://api.spotify.com/v1/tracks/79OBM3zIJst8eSppzdECrj,https://api.spotify.com/v1/audio-analysis/79OBM3zIJst8eSppzdECrj,175639,4
1,69WXOcy1JH8ae6b4cYp3sN,Loved, Highlight,0.612,0.911,6,-0.857,0,0.0723,0.202,0.0,0.0747,0.566,104.949,audio_features,69WXOcy1JH8ae6b4cYp3sN,spotify:track:69WXOcy1JH8ae6b4cYp3sN,https://api.spotify.com/v1/tracks/69WXOcy1JH8ae6b4cYp3sN,https://api.spotify.com/v1/audio-analysis/69WXOcy1JH8ae6b4cYp3sN,213826,4
27,27rdGxbavYJeBphck5MZAF,Nothing Breaks Like a Heart (feat. Miley Cyrus), Mark Ronson,0.601,0.794,7,-5.844,0,0.0671,0.00987,1.36e-06,0.388,0.244,114.066,audio_features,27rdGxbavYJeBphck5MZAF,spotify:track:27rdGxbavYJeBphck5MZAF,https://api.spotify.com/v1/tracks/27rdGxbavYJeBphck5MZAF,https://api.spotify.com/v1/audio-analysis/27rdGxbavYJeBphck5MZAF,217467,4
21,2IRZnDFmlqMuOrYOLnZZyc,Going Bad (feat. Drake), Meek Mill,0.889,0.496,4,-6.365,0,0.0905,0.259,0.0,0.252,0.544,86.003,audio_features,2IRZnDFmlqMuOrYOLnZZyc,spotify:track:2IRZnDFmlqMuOrYOLnZZyc,https://api.spotify.com/v1/tracks/2IRZnDFmlqMuOrYOLnZZyc,https://api.spotify.com/v1/audio-analysis/2IRZnDFmlqMuOrYOLnZZyc,180522,4
8,0u695M7KyzXaPIjpEbxOkB,SICKO MODE - Skrillex Remix, Travis Scott,0.651,0.833,1,-3.356,1,0.172,0.0214,0.0,0.14,0.443,155.051,audio_features,0u695M7KyzXaPIjpEbxOkB,spotify:track:0u695M7KyzXaPIjpEbxOkB,https://api.spotify.com/v1/tracks/0u695M7KyzXaPIjpEbxOkB,https://api.spotify.com/v1/audio-analysis/0u695M7KyzXaPIjpEbxOkB,304512,4
26,0Tm5ER6IrGfmW0yZ5lkQli,Rowdy Baby, Yuvan Shankar Raja,0.668,0.703,10,-8.192,0,0.199,0.281,0.0029,0.159,0.588,176.889,audio_features,0Tm5ER6IrGfmW0yZ5lkQli,spotify:track:0Tm5ER6IrGfmW0yZ5lkQli,https://api.spotify.com/v1/tracks/0Tm5ER6IrGfmW0yZ5lkQli,https://api.spotify.com/v1/audio-analysis/0Tm5ER6IrGfmW0yZ5lkQli,281440,3
11,6SYoRoUpmoNExhrZdfbmU4,It Is What It Is, RuthAnne,0.473,0.119,9,-14.315,1,0.048,0.898,0.0,0.236,0.293,143.269,audio_features,6SYoRoUpmoNExhrZdfbmU4,spotify:track:6SYoRoUpmoNExhrZdfbmU4,https://api.spotify.com/v1/tracks/6SYoRoUpmoNExhrZdfbmU4,https://api.spotify.com/v1/audio-analysis/6SYoRoUpmoNExhrZdfbmU4,198000,4
5,2nQL1tJSOqx8mfVNJXuVNk,你懂我說的嗎, 呂薔Amuyi,0.474,0.376,0,-7.004,1,0.0384,0.779,0.0,0.472,0.21,129.017,audio_features,2nQL1tJSOqx8mfVNJXuVNk,spotify:track:2nQL1tJSOqx8mfVNJXuVNk,https://api.spotify.com/v1/tracks/2nQL1tJSOqx8mfVNJXuVNk,https://api.spotify.com/v1/audio-analysis/2nQL1tJSOqx8mfVNJXuVNk,343680,4
19,3567eNX2L3RkkMkwspncMH,Lie To Me, 5 Seconds of Summer,0.633,0.478,0,-5.571,1,0.0359,0.0115,0.0,0.103,0.692,159.951,audio_features,3567eNX2L3RkkMkwspncMH,spotify:track:3567eNX2L3RkkMkwspncMH,https://api.spotify.com/v1/tracks/3567eNX2L3RkkMkwspncMH,https://api.spotify.com/v1/audio-analysis/3567eNX2L3RkkMkwspncMH,150467,4
2,3OEfMq4oWCCfYVtRyRGLT9,彈指間 - 主題曲, Alfred Sim,0.272,0.536,7,-5.475,1,0.0282,0.471,0.0,0.399,0.288,86.059,audio_features,3OEfMq4oWCCfYVtRyRGLT9,spotify:track:3OEfMq4oWCCfYVtRyRGLT9,https://api.spotify.com/v1/tracks/3OEfMq4oWCCfYVtRyRGLT9,https://api.spotify.com/v1/audio-analysis/3OEfMq4oWCCfYVtRyRGLT9,285475,1
2,1bZNFcnyCmlnbs337baR0b,FIANCÉ, MINO,0.661,0.759,5,-3.247,1,0.0326,0.0281,0.0,0.128,0.466,139.922,audio_features,1bZNFcnyCmlnbs337baR0b,spotify:track:1bZNFcnyCmlnbs337baR0b,https://api.spotify.com/v1/tracks/1bZNFcnyCmlnbs337baR0b,https://api.spotify.com/v1/audio-analysis/1bZNFcnyCmlnbs337baR0b,207925,4
17,6fIgsZFtGXiIvxb2Y6oCc7,Apple Juice (feat. Carla Monroe) - MOTi Remix, SLATIN,0.671,0.91,0,-3.621,1,0.1,0.00196,0.0316,0.171,0.413,128.036,audio_features,6fIgsZFtGXiIvxb2Y6oCc7,spotify:track:6fIgsZFtGXiIvxb2Y6oCc7,https://api.spotify.com/v1/tracks/6fIgsZFtGXiIvxb2Y6oCc7,https://api.spotify.com/v1/audio-analysis/6fIgsZFtGXiIvxb2Y6oCc7,138750,4
14,16geeCnXrbiomV1IZ8Kudc,"Back to Life - from ""Bumblebee""", Hailee Steinfeld,0.638,0.659,10,-6.215,0,0.0627,0.0127,0.0,0.187,0.341,103.029,audio_features,16geeCnXrbiomV1IZ8Kudc,spotify:track:16geeCnXrbiomV1IZ8Kudc,https://api.spotify.com/v1/tracks/16geeCnXrbiomV1IZ8Kudc,https://api.spotify.com/v1/audio-analysis/16geeCnXrbiomV1IZ8Kudc,233858,4
1,0U9tMlme07wZxJnMlNDY8U,Jesus I Come, Awaken Generation,0.263,0.502,0,-8.09,1,0.0385,0.111,0.0,0.128,0.104,139.012,audio_features,0U9tMlme07wZxJnMlNDY8U,spotify:track:0U9tMlme07wZxJnMlNDY8U,https://api.spotify.com/v1/tracks/0U9tMlme07wZxJnMlNDY8U,https://api.spotify.com/v1/audio-analysis/0U9tMlme07wZxJnMlNDY8U,339027,4
27,1Ea0zWC9cjfsF70fvZ3qva,"The Place Where Lost Things Go - From ""Mary Poppins Returns""", Emily Blunt,0.353,0.0674,9,-19.18,1,0.0454,0.961,1.4e-05,0.0946,0.198,123.331,audio_features,1Ea0zWC9cjfsF70fvZ3qva,spotify:track:1Ea0zWC9cjfsF70fvZ3qva,https://api.spotify.com/v1/tracks/1Ea0zWC9cjfsF70fvZ3qva,https://api.spotify.com/v1/audio-analysis/1Ea0zWC9cjfsF70fvZ3qva,223893,1
5,1GZJu6ciZ55S8Kp1s8Z5ex,It Makes You Forget (Itgehane) - Edit, Peggy Gou,0.794,0.89,0,-9.438,1,0.0431,0.0177,0.468,0.0838,0.77,125.003,audio_features,1GZJu6ciZ55S8Kp1s8Z5ex,spotify:track:1GZJu6ciZ55S8Kp1s8Z5ex,https://api.spotify.com/v1/tracks/1GZJu6ciZ55S8Kp1s8Z5ex,https://api.spotify.com/v1/audio-analysis/1GZJu6ciZ55S8Kp1s8Z5ex,236160,4
73,2dr6ZMyjUfzjAzDZJsRKtE,Kemarin, Seventeen,0.324,0.32,5,-8.976,0,0.0341,0.0497,0.0,0.31,0.126,131.853,audio_features,2dr6ZMyjUfzjAzDZJsRKtE,spotify:track:2dr6ZMyjUfzjAzDZJsRKtE,https://api.spotify.com/v1/tracks/2dr6ZMyjUfzjAzDZJsRKtE,https://api.spotify.com/v1/audio-analysis/2dr6ZMyjUfzjAzDZJsRKtE,242027,4
5,1fpMcyCESIPDTdIzSP9jQ4,Habibi, Sophia Akkara,0.828,0.707,9,-5.644,0,0.0363,0.152,0.000207,0.215,0.647,104.951,audio_features,1fpMcyCESIPDTdIzSP9jQ4,spotify:track:1fpMcyCESIPDTdIzSP9jQ4,https://api.spotify.com/v1/tracks/1fpMcyCESIPDTdIzSP9jQ4,https://api.spotify.com/v1/audio-analysis/1fpMcyCESIPDTdIzSP9jQ4,262000,4
1,4yVEpUXxYgBwfSOKGTFxv5,REEL IT IN (feat. Gucci Mane) - Remix, Aminé,0.779,0.355,10,-8.971,0,0.0789,0.0624,0.0,0.159,0.362,128.805,audio_features,4yVEpUXxYgBwfSOKGTFxv5,spotify:track:4yVEpUXxYgBwfSOKGTFxv5,https://api.spotify.com/v1/tracks/4yVEpUXxYgBwfSOKGTFxv5,https://api.spotify.com/v1/audio-analysis/4yVEpUXxYgBwfSOKGTFxv5,166960,4
3,7fa9MBXhVfQ8P8Df9OEbD8,Girls Like You (feat. Cardi B), Maroon 5,0.851,0.541,0,-6.825,1,0.0505,0.568,0.0,0.13,0.448,124.959,audio_features,7fa9MBXhVfQ8P8Df9OEbD8,spotify:track:7fa9MBXhVfQ8P8Df9OEbD8,https://api.spotify.com/v1/tracks/7fa9MBXhVfQ8P8Df9OEbD8,https://api.spotify.com/v1/audio-analysis/7fa9MBXhVfQ8P8Df9OEbD8,235545,4
30,3gicyfiEVMGONgzygpWjNT,Grip, Seeb,0.598,0.904,4,-2.293,1,0.0507,0.331,0.0,0.264,0.503,138.091,audio_features,3gicyfiEVMGONgzygpWjNT,spotify:track:3gicyfiEVMGONgzygpWjNT,https://api.spotify.com/v1/tracks/3gicyfiEVMGONgzygpWjNT,https://api.spotify.com/v1/audio-analysis/3gicyfiEVMGONgzygpWjNT,198075,4
21,5ollDCofTmRZN0Bbhz4EDW,Can You Imagine That?, Emily Blunt,0.577,0.381,8,-10.928,1,0.168,0.816,0.0,0.216,0.498,117.57,audio_features,5ollDCofTmRZN0Bbhz4EDW,spotify:track:5ollDCofTmRZN0Bbhz4EDW,https://api.spotify.com/v1/tracks/5ollDCofTmRZN0Bbhz4EDW,https://api.spotify.com/v1/audio-analysis/5ollDCofTmRZN0Bbhz4EDW,262640,4
13,4Q88Jn7W1Cjr8CJ4oZo1Hi,I'm With You (feat. Hannah Jane Lewis) - DAZZ Remix, Hight,0.376,0.922,9,-3.516,1,0.195,0.00368,1.3e-05,0.359,0.454,123.62,audio_features,4Q88Jn7W1Cjr8CJ4oZo1Hi,spotify:track:4Q88Jn7W1Cjr8CJ4oZo1Hi,https://api.spotify.com/v1/tracks/4Q88Jn7W1Cjr8CJ4oZo1Hi,https://api.spotify.com/v1/audio-analysis/4Q88Jn7W1Cjr8CJ4oZo1Hi,152903,4
26,4aXYjdLxgXUgFgQk23t8Tv,A Cover Is Not the Book, Emily Blunt,0.664,0.535,1,-10.369,1,0.54,0.659,0.0,0.118,0.727,121.65,audio_features,4aXYjdLxgXUgFgQk23t8Tv,spotify:track:4aXYjdLxgXUgFgQk23t8Tv,https://api.spotify.com/v1/tracks/4aXYjdLxgXUgFgQk23t8Tv,https://api.spotify.com/v1/audio-analysis/4aXYjdLxgXUgFgQk23t8Tv,265373,3
14,2vfXvhJepsm4imsD8CRK3H,Good Grace - Live, Hillsong UNITED,0.441,0.696,9,-8.196,1,0.0439,0.00434,0.0,0.692,0.268,142.135,audio_features,2vfXvhJepsm4imsD8CRK3H,spotify:track:2vfXvhJepsm4imsD8CRK3H,https://api.spotify.com/v1/tracks/2vfXvhJepsm4imsD8CRK3H,https://api.spotify.com/v1/audio-analysis/2vfXvhJepsm4imsD8CRK3H,353547,4
13,1KVczjazCcCCgM3gXXUl47,Roses (with Juice WRLD feat. Brendon Urie), benny blanco,0.612,0.601,8,-7.089,1,0.164,0.168,0.0,0.117,0.525,147.018,audio_features,1KVczjazCcCCgM3gXXUl47,spotify:track:1KVczjazCcCCgM3gXXUl47,https://api.spotify.com/v1/tracks/1KVczjazCcCCgM3gXXUl47,https://api.spotify.com/v1/audio-analysis/1KVczjazCcCCgM3gXXUl47,223543,4
10,0cge96qsW6ifXppeiiRIGd,How You Love Me (feat. Conor Maynard & Snoop Dogg), Hardwell,0.775,0.723,0,-4.095,1,0.0468,0.282,0.000371,0.126,0.756,104.991,audio_features,0cge96qsW6ifXppeiiRIGd,spotify:track:0cge96qsW6ifXppeiiRIGd,https://api.spotify.com/v1/tracks/0cge96qsW6ifXppeiiRIGd,https://api.spotify.com/v1/audio-analysis/0cge96qsW6ifXppeiiRIGd,194286,4
30,7FGq80cy8juXBCD2nrqdWU,Eastside (with Halsey & Khalid), benny blanco,0.632,0.686,6,-7.665,0,0.243,0.549,0.0,0.2,0.329,89.949,audio_features,7FGq80cy8juXBCD2nrqdWU,spotify:track:7FGq80cy8juXBCD2nrqdWU,https://api.spotify.com/v1/tracks/7FGq80cy8juXBCD2nrqdWU,https://api.spotify.com/v1/audio-analysis/7FGq80cy8juXBCD2nrqdWU,170770,4
2,7pdF27mSDuPWhppnHAmWHa,whoa (mind in awe), XXXTENTACION,0.735,0.525,6,-2.939,0,0.0441,0.653,0.918,0.101,0.369,160.147,audio_features,7pdF27mSDuPWhppnHAmWHa,spotify:track:7pdF27mSDuPWhppnHAmWHa,https://api.spotify.com/v1/tracks/7pdF27mSDuPWhppnHAmWHa,https://api.spotify.com/v1/audio-analysis/7pdF27mSDuPWhppnHAmWHa,157777,4
9,57nU6ivxzZemOQaQK0hqEs,Sexual Vibe, Stephen Puth,0.803,0.782,7,-3.873,0,0.0289,0.0191,4.7e-06,0.108,0.785,115.028,audio_features,57nU6ivxzZemOQaQK0hqEs,spotify:track:57nU6ivxzZemOQaQK0hqEs,https://api.spotify.com/v1/tracks/57nU6ivxzZemOQaQK0hqEs,https://api.spotify.com/v1/audio-analysis/57nU6ivxzZemOQaQK0hqEs,210009,4
7,6MJUCumnQsQEKbCy28tbCP,Adictiva, Daddy Yankee,0.788,0.771,4,-3.206,0,0.0563,0.291,5.62e-05,0.172,0.701,99.038,audio_features,6MJUCumnQsQEKbCy28tbCP,spotify:track:6MJUCumnQsQEKbCy28tbCP,https://api.spotify.com/v1/tracks/6MJUCumnQsQEKbCy28tbCP,https://api.spotify.com/v1/audio-analysis/6MJUCumnQsQEKbCy28tbCP,207853,4
6,2bGQA7mDO7mSrBT16zRsHs,Shake That Thing, Leventina,0.835,0.996,5,-4.453,0,0.147,0.000853,0.438,0.337,0.466,124.999,audio_features,2bGQA7mDO7mSrBT16zRsHs,spotify:track:2bGQA7mDO7mSrBT16zRsHs,https://api.spotify.com/v1/tracks/2bGQA7mDO7mSrBT16zRsHs,https://api.spotify.com/v1/audio-analysis/2bGQA7mDO7mSrBT16zRsHs,205080,4
6,1HhPL0MH5bkJrOnW933joC,岩石裡的花, G.E.M.,0.599,0.376,7,-7.298,1,0.0282,0.513,0.0,0.149,0.22,116.016,audio_features,1HhPL0MH5bkJrOnW933joC,spotify:track:1HhPL0MH5bkJrOnW933joC,https://api.spotify.com/v1/tracks/1HhPL0MH5bkJrOnW933joC,https://api.spotify.com/v1/audio-analysis/1HhPL0MH5bkJrOnW933joC,294130,4
1,0u2DOByL0CghKtcvSkQAiQ,Don't Think Twice, Hikaru Utada,0.512,0.672,7,-5.856,0,0.0456,0.639,0.0,0.123,0.348,127.624,audio_features,0u2DOByL0CghKtcvSkQAiQ,spotify:track:0u2DOByL0CghKtcvSkQAiQ,https://api.spotify.com/v1/tracks/0u2DOByL0CghKtcvSkQAiQ,https://api.spotify.com/v1/audio-analysis/0u2DOByL0CghKtcvSkQAiQ,273800,3
25,0Xq3TsWq8bCm7myxpBm0rh,Switch It Up, Lavaado,0.939,0.463,11,-9.152,0,0.421,0.0723,0.0,0.0826,0.642,137.051,audio_features,0Xq3TsWq8bCm7myxpBm0rh,spotify:track:0Xq3TsWq8bCm7myxpBm0rh,https://api.spotify.com/v1/tracks/0Xq3TsWq8bCm7myxpBm0rh,https://api.spotify.com/v1/audio-analysis/0Xq3TsWq8bCm7myxpBm0rh,123429,1
7,2ib06VOzS0jXbutWiPHPNX,I Don't Think About You, HRVY,0.683,0.375,11,-7.065,0,0.122,0.701,2.63e-05,0.1,0.581,175.812,audio_features,2ib06VOzS0jXbutWiPHPNX,spotify:track:2ib06VOzS0jXbutWiPHPNX,https://api.spotify.com/v1/tracks/2ib06VOzS0jXbutWiPHPNX,https://api.spotify.com/v1/audio-analysis/2ib06VOzS0jXbutWiPHPNX,181580,4
2,14mHfNsSHN0FbLftyjrV9g,Leave Me Alone, Flipp Dinero,0.792,0.743,7,-2.806,1,0.0851,0.107,0.0,0.183,0.742,150.024,audio_features,14mHfNsSHN0FbLftyjrV9g,spotify:track:14mHfNsSHN0FbLftyjrV9g,https://api.spotify.com/v1/tracks/14mHfNsSHN0FbLftyjrV9g,https://api.spotify.com/v1/audio-analysis/14mHfNsSHN0FbLftyjrV9g,195637,4
46,1SO5RyYJZUAI0aHkAkrF2p,Everything I Need (From Aquaman: Original Motion Picture Soundtrack) - Film Version, Skylar Grey,0.378,0.457,2,-9.292,1,0.0477,0.401,0.0,0.0917,0.261,74.818,audio_features,1SO5RyYJZUAI0aHkAkrF2p,spotify:track:1SO5RyYJZUAI0aHkAkrF2p,https://api.spotify.com/v1/tracks/1SO5RyYJZUAI0aHkAkrF2p,https://api.spotify.com/v1/audio-analysis/1SO5RyYJZUAI0aHkAkrF2p,196227,4
