chart_appearances,track_id,title,artist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
7,4oAH0son1HaCEIdXhHOaZs,"从心 (""229, 明天见"" 插曲)", 朱哲伟,0.479,0.535,4,-7.704,1,0.0283,0.341,7.3e-05,0.104,0.115,120.049,audio_features,4oAH0son1HaCEIdXhHOaZs,spotify:track:4oAH0son1HaCEIdXhHOaZs,https://api.spotify.com/v1/tracks/4oAH0son1HaCEIdXhHOaZs,https://api.spotify.com/v1/audio-analysis/4oAH0son1HaCEIdXhHOaZs,168000,3
11,7j8K8PE1tO2TvhY15E8ZcD,Oui, Sivas,0.837,0.802,4,-6.507,0,0.188,0.0244,0.00874,0.307,0.453,127.008,audio_features,7j8K8PE1tO2TvhY15E8ZcD,spotify:track:7j8K8PE1tO2TvhY15E8ZcD,https://api.spotify.com/v1/tracks/7j8K8PE1tO2TvhY15E8ZcD,https://api.spotify.com/v1/audio-analysis/7j8K8PE1tO2TvhY15E8ZcD,188273,4
10,00bWqt93aqLXqKtzZoq7Jw,MOOO!, Doja Cat,0.878,0.407,7,-10.941,1,0.233,0.461,0.0,0.111,0.547,89.011,audio_features,00bWqt93aqLXqKtzZoq7Jw,spotify:track:00bWqt93aqLXqKtzZoq7Jw,https://api.spotify.com/v1/tracks/00bWqt93aqLXqKtzZoq7Jw,https://api.spotify.com/v1/audio-analysis/00bWqt93aqLXqKtzZoq7Jw,286517,4
9,1Fo4OvzP9PThFKMeMIAEYu,Superhero, Lauv,0.681,0.34,7,-8.617,1,0.0339,0.82,0.0,0.285,0.417,129.98,audio_features,1Fo4OvzP9PThFKMeMIAEYu,spotify:track:1Fo4OvzP9PThFKMeMIAEYu,https://api.spotify.com/v1/tracks/1Fo4OvzP9PThFKMeMIAEYu,https://api.spotify.com/v1/audio-analysis/1Fo4OvzP9PThFKMeMIAEYu,179998,4
6,60SdxE8apGAxMiRrpbmLY0,Lucky You (feat. Joyner Lucas), Eminem,0.876,0.786,10,-4.884,0,0.306,0.0627,0.0,0.127,0.575,153.068,audio_features,60SdxE8apGAxMiRrpbmLY0,spotify:track:60SdxE8apGAxMiRrpbmLY0,https://api.spotify.com/v1/tracks/60SdxE8apGAxMiRrpbmLY0,https://api.spotify.com/v1/audio-analysis/60SdxE8apGAxMiRrpbmLY0,244679,4
9,26vOBLHS116a4WNUVlvAUW,We Go Up, NCT DREAM,0.893,0.77,8,-4.692,1,0.107,0.0138,0.0,0.225,0.349,122.067,audio_features,26vOBLHS116a4WNUVlvAUW,spotify:track:26vOBLHS116a4WNUVlvAUW,https://api.spotify.com/v1/tracks/26vOBLHS116a4WNUVlvAUW,https://api.spotify.com/v1/audio-analysis/26vOBLHS116a4WNUVlvAUW,183293,4
16,6jreFSOTUAViWjKyzOC4Kg,REMEDY, Alesso,0.601,0.775,0,-4.612,1,0.0473,0.269,0.0,0.0883,0.483,119.964,audio_features,6jreFSOTUAViWjKyzOC4Kg,spotify:track:6jreFSOTUAViWjKyzOC4Kg,https://api.spotify.com/v1/tracks/6jreFSOTUAViWjKyzOC4Kg,https://api.spotify.com/v1/audio-analysis/6jreFSOTUAViWjKyzOC4Kg,190295,4
24,3rPAD722s5FFNnwjC91t7Z,Quiere Beber, Anuel AA,0.773,0.57,8,-3.482,1,0.113,0.372,0.00524,0.108,0.772,95.038,audio_features,3rPAD722s5FFNnwjC91t7Z,spotify:track:3rPAD722s5FFNnwjC91t7Z,https://api.spotify.com/v1/tracks/3rPAD722s5FFNnwjC91t7Z,https://api.spotify.com/v1/audio-analysis/3rPAD722s5FFNnwjC91t7Z,187125,4
21,7cq86WqTlEyG41ylBsMBSo,Pendusta Cinta, Wani,0.72,0.651,11,-8.021,0,0.0298,0.165,1.71e-06,0.34,0.512,93.03,audio_features,7cq86WqTlEyG41ylBsMBSo,spotify:track:7cq86WqTlEyG41ylBsMBSo,https://api.spotify.com/v1/tracks/7cq86WqTlEyG41ylBsMBSo,https://api.spotify.com/v1/audio-analysis/7cq86WqTlEyG41ylBsMBSo,228097,4
31,4VUwkH455At9kENOfzTqmF,Beautiful (feat. Camila Cabello), Bazzi,0.638,0.717,2,-4.722,1,0.0337,0.346,0.0,0.105,0.249,100.027,audio_features,4VUwkH455At9kENOfzTqmF,spotify:track:4VUwkH455At9kENOfzTqmF,https://api.spotify.com/v1/tracks/4VUwkH455At9kENOfzTqmF,https://api.spotify.com/v1/audio-analysis/4VUwkH455At9kENOfzTqmF,180000,4
58,1nfg7drkoCccY1qKr8CDpA,过客, 阿涵,0.537,0.625,4,-5.514,1,0.0634,0.585,0.0,0.0881,0.41,208.225,audio_features,1nfg7drkoCccY1qKr8CDpA,spotify:track:1nfg7drkoCccY1qKr8CDpA,https://api.spotify.com/v1/tracks/1nfg7drkoCccY1qKr8CDpA,https://api.spotify.com/v1/audio-analysis/1nfg7drkoCccY1qKr8CDpA,270000,4
12,49HmLcTG7tsqz32TF3rnCC,YOUNG, BAEKHYUN,0.343,0.704,6,-4.54,0,0.158,0.304,0.0,0.0679,0.457,63.439,audio_features,49HmLcTG7tsqz32TF3rnCC,spotify:track:49HmLcTG7tsqz32TF3rnCC,https://api.spotify.com/v1/tracks/49HmLcTG7tsqz32TF3rnCC,https://api.spotify.com/v1/audio-analysis/49HmLcTG7tsqz32TF3rnCC,229667,4
